"sku";"gu_vpe";"ean";"STATUS"
"62082";"1.00";"8034076533867";"1"
"62083";"1.00";"8012769650770";"1"
"62084";"1.00";"8033247000498";"1"
"62085";"1.00";"8391135620853";"1"
"62086";"1.00";"8391135620861";"1"
"62087";"1.00";"8391135620877";"1"
"62088";"1.00";"8391135620884";"1"
"62089";"1.00";"8391135620891";"1"
"62090";"1.00";"8391135620907";"1"
"63001";"1.00";"8391135630012";"1"
"63002";"1.00";"8015119160066";"1"
"63003";"1.00";"8015119160035";"1"
"63004";"1.00";"8010471002771";"1"
"63005";"1.00";"8015119201387";"1"
"63006";"1.00";"8015119152078";"1"
"63007";"1.00";"8391135630074";"1"
"63008";"1.00";"8003295002928";"1"
"63009";"1.00";"8003295005271";"1"
"63010";"1.00";"8013146029998";"1"
"63011";"1.00";"8003905100648";"1"
"63012";"1.00";"8008530072407";"1"
"63013";"1.00";"8005829140045";"1"
"63014";"1.00";"8007355006208";"1"
"63015";"1.00";"8015822000048";"1"
"63016";"1.00";"8015119160011";"1"
"63017";"1.00";"8015119156021";"1"
"63018";"1.00";"8015119152115";"1"
"63019";"1.00";"8391135630197";"1"
"63020";"1.00";"8030773002606";"1"
"63021";"1.00";"8003295005295";"1"
"63022";"1.00";"8391135630227";"1"
"63023";"1.00";"8030773002378";"1"
"63024";"1.00";"8008900005486";"1"
"63025";"1.00";"8008900005912";"1"
"63026";"1.00";"8008900005806";"1"
"63027";"1.00";"4041392091180";"1"
"63028";"1.00";"8051070990038";"1"
"63029";"1.00";"8032727260117";"1"
"63030";"1.00";"8006233104005";"1"
"63031";"1.00";"8391135630319";"1"
"63032";"1.00";"8005011311017";"1"
"63033";"1.00";"8015119149016";"1"
"63034";"1.00";"8015119149023";"1"
"63035";"1.00";"8005011001192";"1"
"63036";"1.00";"8391135630364";"1"
"63037";"1.00";"8391135630371";"1"
"63038";"1.00";"8391135630388";"1"
"63039";"1.00";"8391135630395";"1"
"63040";"1.00";"8391135630401";"1"
"63041";"1.00";"8391135630418";"1"
"63042";"1.00";"8391135630425";"1"
"63043";"1.00";"8005011001185";"1"
"63044";"1.00";"8055965650236";"1"
"63045";"1.00";"8005011001413";"1"
"63046";"1.00";"80211228";"1"
"63047";"1.00";"8391135630470";"1"
"63047";"1.00";"8055965650151";"0"
"63048";"1.00";"8002915000603";"1"
"63049";"1.00";"8002915002461";"1"
"63050";"1.00";"63050";"1"
"63051";"1.00";"8032942480260";"1"
"63052";"1.00";"8013139001499";"1"
"63053";"1.00";"8013139000812";"1"
"63054";"1.00";"8013139002014";"1"
"63055";"1.00";"8013139000072";"1"
"63056";"1.00";"8013139000041";"1"
"63057";"1.00";"8013139000027";"1"
"63058";"1.00";"8004810294484";"1"
"63059";"1.00";"8004810580488";"1"
"63060";"1.00";"8004810261486";"1"
"63061";"1.00";"8004810260489";"1"
"63062";"1.00";"8004385032221";"1"
"63063";"1.00";"8004385032184";"1"
"63064";"1.00";"8004385032207";"1"
"64001";"1.00";"8008310072702";"1"
"64002";"1.00";"8033324230176";"1"
"64003";"1.00";"8391135640035";"1"
"64004";"1.00";"8391135640042";"1"
"64005";"1.00";"8002092011591";"1"
"64006";"1.00";"8002092011010";"1"
"64007";"1.00";"8002092011034";"1"
"64008";"1.00";"8001110001415";"1"
"64009";"1.00";"8000353001954";"1"
"64010";"1.00";"8391135640103";"1"
"64011";"1.00";"8391135640110";"1"
"64012";"1.00";"8391135640127";"1"
"64013";"1.00";"8391135640134";"1"
"64014";"1.00";"8391135640141";"1"
"64015";"1.00";"8391135640158";"1"
"64016";"1.00";"8391135640165";"1"
"64017";"1.00";"8391135640172";"1"
"64018";"1.00";"8391135640189";"1"
"64019";"1.00";"8391135640196";"1"
"64020";"1.00";"8005240000058";"1"
"64021";"1.00";"8002240001023";"1"
